"DATE","IUMCCTL"
"31 Jan 2018",17.92
"28 Feb 2018",17.92
"31 Mar 2018",17.92
"30 Apr 2018",18.26
"31 May 2018",18.24
"30 Jun 2018",18.26
"31 Jul 2018",18.35
"31 Aug 2018",18.47
"30 Sep 2018",18.46
"31 Oct 2018",18.38
"30 Nov 2018",18.69
"31 Dec 2018",18.66
"31 Jan 2019",18.67
"28 Feb 2019",19.73
"31 Mar 2019",19.83
"30 Apr 2019",19.92
"31 May 2019",20
"30 Jun 2019",19.99
"31 Jul 2019",20.01
"31 Aug 2019",20.01
"30 Sep 2019",20.01
"31 Oct 2019",19.62
"30 Nov 2019",20.33
"31 Dec 2019",20.77
"31 Jan 2020",20.77
"29 Feb 2020",20.77
"31 Mar 2020",20.78
"30 Apr 2020",20.63
"31 May 2020",20.58
"30 Jun 2020",20.54
"31 Jul 2020",20.56
"31 Aug 2020",20.56
"30 Sep 2020",20.72
"31 Oct 2020",20.91
"30 Nov 2020",20.92
"31 Dec 2020",20.9
"31 Jan 2021",20.99
"28 Feb 2021",21.02
"31 Mar 2021",21.15
"30 Apr 2021",21.3
"31 May 2021",21.49
"30 Jun 2021",21.49
"31 Jul 2021",21.49
"31 Aug 2021",21.45
"30 Sep 2021",21.45
"31 Oct 2021",21.48
"30 Nov 2021",21.42
"31 Dec 2021",21.42
