"DATE","IUMODTL"
"31 Jan 2018",19.67
"28 Feb 2018",19.67
"31 Mar 2018",19.66
"30 Apr 2018",19.67
"31 May 2018",19.67
"30 Jun 2018",19.68
"31 Jul 2018",19.68
"31 Aug 2018",19.68
"30 Sep 2018",19.69
"31 Oct 2018",19.69
"30 Nov 2018",19.69
"31 Dec 2018",19.69
"31 Jan 2019",19.7
"28 Feb 2019",18.52
"31 Mar 2019",18.5
"30 Apr 2019",18.52
"31 May 2019",18.53
"30 Jun 2019",18.55
"31 Jul 2019",18.58
"31 Aug 2019",18.59
"30 Sep 2019",18.61
"31 Oct 2019",18.62
"30 Nov 2019",19.24
"31 Dec 2019",21.24
"31 Jan 2020",21.09
"29 Feb 2020",20.99
"31 Mar 2020",24.21
"30 Apr 2020",30.47
"31 May 2020",31.53
"30 Jun 2020",31.63
"31 Jul 2020",31.75
"31 Aug 2020",31.91
"30 Sep 2020",31.59
"31 Oct 2020",33.43
"30 Nov 2020",33.33
"31 Dec 2020",33.32
"31 Jan 2021",33.37
"28 Feb 2021",33.47
"31 Mar 2021",33.56
"30 Apr 2021",33.59
"31 May 2021",33.54
"30 Jun 2021",33.68
"31 Jul 2021",33.75
"31 Aug 2021",33.77
"30 Sep 2021",33.84
"31 Oct 2021",33.83
"30 Nov 2021",33.89
"31 Dec 2021",33.93
