"date","rate","group","post","treated"
2018-01-31,19.67,"treatment",0,1
2018-02-28,19.67,"treatment",0,1
2018-03-31,19.66,"treatment",0,1
2018-04-30,19.67,"treatment",0,1
2018-05-31,19.67,"treatment",0,1
2018-06-30,19.68,"treatment",0,1
2018-07-31,19.68,"treatment",0,1
2018-08-31,19.68,"treatment",0,1
2018-09-30,19.69,"treatment",0,1
2018-10-31,19.69,"treatment",0,1
2018-11-30,19.69,"treatment",0,1
2018-12-31,19.69,"treatment",0,1
2019-01-31,19.7,"treatment",0,1
2019-02-28,18.52,"treatment",0,1
2019-03-31,18.5,"treatment",0,1
2019-04-30,18.52,"treatment",0,1
2019-05-31,18.53,"treatment",0,1
2019-06-30,18.55,"treatment",0,1
2019-07-31,18.58,"treatment",0,1
2019-08-31,18.59,"treatment",0,1
2019-09-30,18.61,"treatment",0,1
2019-10-31,18.62,"treatment",0,1
2019-11-30,19.24,"treatment",0,1
2019-12-31,21.24,"treatment",0,1
2020-01-31,21.09,"treatment",0,1
2020-02-29,20.99,"treatment",0,1
2020-03-31,24.21,"treatment",0,1
2020-04-30,30.47,"treatment",1,1
2020-05-31,31.53,"treatment",1,1
2020-06-30,31.63,"treatment",1,1
2020-07-31,31.75,"treatment",1,1
2020-08-31,31.91,"treatment",1,1
2020-09-30,31.59,"treatment",1,1
2020-10-31,33.43,"treatment",1,1
2020-11-30,33.33,"treatment",1,1
2020-12-31,33.32,"treatment",1,1
2021-01-31,33.37,"treatment",1,1
2021-02-28,33.47,"treatment",1,1
2021-03-31,33.56,"treatment",1,1
2021-04-30,33.59,"treatment",1,1
2021-05-31,33.54,"treatment",1,1
2021-06-30,33.68,"treatment",1,1
2021-07-31,33.75,"treatment",1,1
2021-08-31,33.77,"treatment",1,1
2021-09-30,33.84,"treatment",1,1
2021-10-31,33.83,"treatment",1,1
2021-11-30,33.89,"treatment",1,1
2021-12-31,33.93,"treatment",1,1
2018-01-31,17.92,"control",0,0
2018-02-28,17.92,"control",0,0
2018-03-31,17.92,"control",0,0
2018-04-30,18.26,"control",0,0
2018-05-31,18.24,"control",0,0
2018-06-30,18.26,"control",0,0
2018-07-31,18.35,"control",0,0
2018-08-31,18.47,"control",0,0
2018-09-30,18.46,"control",0,0
2018-10-31,18.38,"control",0,0
2018-11-30,18.69,"control",0,0
2018-12-31,18.66,"control",0,0
2019-01-31,18.67,"control",0,0
2019-02-28,19.73,"control",0,0
2019-03-31,19.83,"control",0,0
2019-04-30,19.92,"control",0,0
2019-05-31,20,"control",0,0
2019-06-30,19.99,"control",0,0
2019-07-31,20.01,"control",0,0
2019-08-31,20.01,"control",0,0
2019-09-30,20.01,"control",0,0
2019-10-31,19.62,"control",0,0
2019-11-30,20.33,"control",0,0
2019-12-31,20.77,"control",0,0
2020-01-31,20.77,"control",0,0
2020-02-29,20.77,"control",0,0
2020-03-31,20.78,"control",0,0
2020-04-30,20.63,"control",1,0
2020-05-31,20.58,"control",1,0
2020-06-30,20.54,"control",1,0
2020-07-31,20.56,"control",1,0
2020-08-31,20.56,"control",1,0
2020-09-30,20.72,"control",1,0
2020-10-31,20.91,"control",1,0
2020-11-30,20.92,"control",1,0
2020-12-31,20.9,"control",1,0
2021-01-31,20.99,"control",1,0
2021-02-28,21.02,"control",1,0
2021-03-31,21.15,"control",1,0
2021-04-30,21.3,"control",1,0
2021-05-31,21.49,"control",1,0
2021-06-30,21.49,"control",1,0
2021-07-31,21.49,"control",1,0
2021-08-31,21.45,"control",1,0
2021-09-30,21.45,"control",1,0
2021-10-31,21.48,"control",1,0
2021-11-30,21.42,"control",1,0
2021-12-31,21.42,"control",1,0
